id,text,word_count,avg_word_length,sentence_count,complexity_score,target
678,The story is engaging and suitable for young readers. Sample 678,148,4.52,15,0.83,4.292
679,The story is engaging and suitable for young readers. Sample 679,208,7.28,18,0.738,-1.428
680,The story is engaging and suitable for young readers. Sample 680,119,4.97,6,0.983,-2.404
681,The document contains moderately complex vocabulary. Sample 681,283,4.1,2,0.429,1.453
682,The document contains moderately complex vocabulary. Sample 682,102,6.42,9,0.006,0.731
683,The document contains moderately complex vocabulary. Sample 683,40,4.27,11,0.597,3.189
684,The story is engaging and suitable for young readers. Sample 684,174,5.95,19,0.55,-2.417
685,The story is engaging and suitable for young readers. Sample 685,182,6.13,6,0.521,3.29
686,The document contains moderately complex vocabulary. Sample 686,232,6.22,13,0.092,-1.23
687,The document contains moderately complex vocabulary. Sample 687,189,5.16,10,0.218,3.021
688,The research manuscript presents sophisticated theoretical arguments. Sample 688,263,8.48,1,0.115,-0.232
689,The document contains moderately complex vocabulary. Sample 689,144,8.29,11,0.381,3.37
690,This passage is easy to read and understand. Sample 690,217,4.78,10,0.025,1.135
691,The article uses highly technical terminology and advanced concepts. Sample 691,283,7.51,15,0.487,-0.629
692,The story is engaging and suitable for young readers. Sample 692,118,5.1,3,0.948,-1.661
693,The research manuscript presents sophisticated theoretical arguments. Sample 693,293,3.54,3,0.211,2.036
694,The document contains moderately complex vocabulary. Sample 694,237,7.68,7,0.538,2.622
695,The story is engaging and suitable for young readers. Sample 695,242,6.73,3,0.747,-1.77
696,The tutorial is beginner friendly and clearly written. Sample 696,189,3.69,3,0.054,3.354
697,The research manuscript presents sophisticated theoretical arguments. Sample 697,56,6.37,8,0.911,0.261
698,The tutorial is beginner friendly and clearly written. Sample 698,227,5.67,1,0.39,-2.054
699,This passage is easy to read and understand. Sample 699,52,7.28,19,0.046,3.786
700,The article uses highly technical terminology and advanced concepts. Sample 700,277,4.03,10,0.607,-0.748
701,The tutorial is beginner friendly and clearly written. Sample 701,215,5.48,1,0.474,1.268
702,The document contains moderately complex vocabulary. Sample 702,220,7.48,18,0.295,2.072
703,The article uses highly technical terminology and advanced concepts. Sample 703,211,8.29,1,0.554,1.441
704,This passage is easy to read and understand. Sample 704,41,3.53,20,0.394,1.38
705,This passage is easy to read and understand. Sample 705,176,4.55,12,0.212,4.245
706,The research manuscript presents sophisticated theoretical arguments. Sample 706,92,4.3,8,0.617,-0.978
707,This passage is easy to read and understand. Sample 707,112,6.85,19,0.852,3.811
708,The research manuscript presents sophisticated theoretical arguments. Sample 708,256,6.72,3,0.291,-2.461
709,This passage is easy to read and understand. Sample 709,121,7.13,16,0.952,-0.143
710,The story is engaging and suitable for young readers. Sample 710,140,4.0,20,0.07,-1.452
711,The tutorial is beginner friendly and clearly written. Sample 711,250,5.14,10,0.693,-1.781
712,The research manuscript presents sophisticated theoretical arguments. Sample 712,206,7.54,14,0.169,-0.494
713,The document contains moderately complex vocabulary. Sample 713,243,4.88,12,0.134,2.864
714,The tutorial is beginner friendly and clearly written. Sample 714,256,5.73,10,0.487,-2.129
715,The story is engaging and suitable for young readers. Sample 715,61,7.71,5,0.891,-1.429
716,The story is engaging and suitable for young readers. Sample 716,59,7.14,1,0.85,2.053
717,The research manuscript presents sophisticated theoretical arguments. Sample 717,227,7.35,7,0.906,1.413
718,The research manuscript presents sophisticated theoretical arguments. Sample 718,296,5.86,5,0.366,-1.214
719,The research manuscript presents sophisticated theoretical arguments. Sample 719,168,4.17,17,0.51,0.174
720,The research manuscript presents sophisticated theoretical arguments. Sample 720,25,6.81,20,0.684,3.058
721,The document contains moderately complex vocabulary. Sample 721,248,4.3,19,0.949,2.275
722,The document contains moderately complex vocabulary. Sample 722,267,8.2,2,0.219,0.901
723,This passage is easy to read and understand. Sample 723,155,5.35,2,0.669,1.143
724,The article uses highly technical terminology and advanced concepts. Sample 724,218,5.85,15,0.882,-2.681
725,The story is engaging and suitable for young readers. Sample 725,185,4.02,17,0.634,-0.812
726,The story is engaging and suitable for young readers. Sample 726,154,6.39,19,0.174,2.229
727,The article uses highly technical terminology and advanced concepts. Sample 727,59,6.08,13,0.973,-1.217
728,The tutorial is beginner friendly and clearly written. Sample 728,200,7.59,12,0.487,0.857
729,The research manuscript presents sophisticated theoretical arguments. Sample 729,23,6.01,5,0.44,-1.16
730,The research manuscript presents sophisticated theoretical arguments. Sample 730,163,4.56,6,0.157,1.816
731,This passage is easy to read and understand. Sample 731,137,5.57,11,0.72,0.852
732,The tutorial is beginner friendly and clearly written. Sample 732,265,4.55,6,0.647,0.287
733,The document contains moderately complex vocabulary. Sample 733,42,4.14,19,0.161,2.036
734,This passage is easy to read and understand. Sample 734,95,3.78,9,0.922,1.133
735,The tutorial is beginner friendly and clearly written. Sample 735,29,7.89,10,0.947,-1.267
736,The research manuscript presents sophisticated theoretical arguments. Sample 736,261,7.84,6,0.219,0.286
737,The document contains moderately complex vocabulary. Sample 737,113,6.62,17,0.265,2.793
738,The article uses highly technical terminology and advanced concepts. Sample 738,252,6.48,3,0.23,0.084
739,This passage is easy to read and understand. Sample 739,28,4.51,17,0.684,3.612
740,The research manuscript presents sophisticated theoretical arguments. Sample 740,69,4.39,20,0.6,4.022
741,The research manuscript presents sophisticated theoretical arguments. Sample 741,277,7.26,3,0.482,-1.957
742,The research manuscript presents sophisticated theoretical arguments. Sample 742,296,7.64,14,0.522,-0.037
743,This passage is easy to read and understand. Sample 743,291,5.64,16,0.79,0.05
744,The research manuscript presents sophisticated theoretical arguments. Sample 744,70,5.63,9,0.477,-1.14
745,This passage is easy to read and understand. Sample 745,165,6.49,18,0.409,-1.488
746,The story is engaging and suitable for young readers. Sample 746,23,6.39,4,0.52,0.0
747,The document contains moderately complex vocabulary. Sample 747,181,5.54,4,0.155,2.213
748,The article uses highly technical terminology and advanced concepts. Sample 748,153,7.77,14,0.565,1.895
749,The story is engaging and suitable for young readers. Sample 749,223,7.27,14,0.552,1.461
750,The document contains moderately complex vocabulary. Sample 750,209,6.3,16,0.254,-0.547
751,The article uses highly technical terminology and advanced concepts. Sample 751,223,7.18,4,0.748,0.573
752,The story is engaging and suitable for young readers. Sample 752,102,4.0,17,0.401,-0.292
753,The research manuscript presents sophisticated theoretical arguments. Sample 753,46,4.3,1,0.804,3.586
754,The tutorial is beginner friendly and clearly written. Sample 754,242,3.94,9,0.222,-2.36
755,This passage is easy to read and understand. Sample 755,216,8.15,13,0.614,1.168
756,The story is engaging and suitable for young readers. Sample 756,49,8.23,6,0.64,0.512
757,The document contains moderately complex vocabulary. Sample 757,285,4.93,2,0.784,1.084
758,The story is engaging and suitable for young readers. Sample 758,138,6.58,2,0.36,2.24
759,The document contains moderately complex vocabulary. Sample 759,64,8.48,13,0.353,0.161
760,The research manuscript presents sophisticated theoretical arguments. Sample 760,122,6.09,3,0.919,1.397
761,The story is engaging and suitable for young readers. Sample 761,198,5.24,9,0.226,4.704
762,The tutorial is beginner friendly and clearly written. Sample 762,226,6.37,9,0.175,1.05
763,The research manuscript presents sophisticated theoretical arguments. Sample 763,57,6.02,11,0.947,3.424
764,The article uses highly technical terminology and advanced concepts. Sample 764,295,7.57,19,0.25,0.542
765,The tutorial is beginner friendly and clearly written. Sample 765,267,7.35,11,0.961,0.671
766,The tutorial is beginner friendly and clearly written. Sample 766,34,5.91,9,0.068,2.069
767,The document contains moderately complex vocabulary. Sample 767,137,7.5,14,0.955,1.132
768,This passage is easy to read and understand. Sample 768,154,4.74,3,0.399,2.99
769,The article uses highly technical terminology and advanced concepts. Sample 769,58,6.27,6,0.477,-0.172
770,The research manuscript presents sophisticated theoretical arguments. Sample 770,157,4.41,7,0.499,-1.403
771,The story is engaging and suitable for young readers. Sample 771,143,7.86,7,0.229,3.68
772,The research manuscript presents sophisticated theoretical arguments. Sample 772,202,4.28,4,0.12,-2.372
773,The story is engaging and suitable for young readers. Sample 773,272,6.57,18,0.958,3.784
774,The article uses highly technical terminology and advanced concepts. Sample 774,181,5.96,19,0.869,0.926
775,The research manuscript presents sophisticated theoretical arguments. Sample 775,163,5.49,19,0.128,1.206
776,The tutorial is beginner friendly and clearly written. Sample 776,264,8.2,2,0.502,0.15
777,The story is engaging and suitable for young readers. Sample 777,109,5.79,4,0.698,0.681
778,The story is engaging and suitable for young readers. Sample 778,24,3.56,7,0.379,-2.194
779,The article uses highly technical terminology and advanced concepts. Sample 779,152,4.44,9,0.237,0.771
780,The research manuscript presents sophisticated theoretical arguments. Sample 780,195,5.33,16,0.424,0.353
781,The article uses highly technical terminology and advanced concepts. Sample 781,206,7.77,9,0.451,1.571
782,The research manuscript presents sophisticated theoretical arguments. Sample 782,137,7.57,9,0.804,1.443
783,The tutorial is beginner friendly and clearly written. Sample 783,120,4.23,5,0.473,-2.922
784,The tutorial is beginner friendly and clearly written. Sample 784,275,4.17,17,0.534,-0.474
785,The tutorial is beginner friendly and clearly written. Sample 785,173,4.75,19,0.048,-2.208
786,The document contains moderately complex vocabulary. Sample 786,50,4.58,9,0.477,2.039
787,The tutorial is beginner friendly and clearly written. Sample 787,191,4.8,12,0.56,4.455
788,The article uses highly technical terminology and advanced concepts. Sample 788,196,3.6,4,0.351,2.437
789,The research manuscript presents sophisticated theoretical arguments. Sample 789,121,6.38,18,0.175,3.242
790,The article uses highly technical terminology and advanced concepts. Sample 790,186,6.87,16,0.775,0.575
791,This passage is easy to read and understand. Sample 791,215,6.57,15,0.632,-1.841
792,The document contains moderately complex vocabulary. Sample 792,192,5.61,20,0.572,3.791
793,This passage is easy to read and understand. Sample 793,60,4.31,8,0.313,2.224
794,The story is engaging and suitable for young readers. Sample 794,156,6.53,13,0.271,0.559
795,The article uses highly technical terminology and advanced concepts. Sample 795,286,8.33,14,0.167,3.834
796,The document contains moderately complex vocabulary. Sample 796,140,6.81,3,0.211,0.176
797,This passage is easy to read and understand. Sample 797,52,8.18,16,0.548,-2.789
798,The tutorial is beginner friendly and clearly written. Sample 798,288,7.32,3,0.104,1.945
799,This passage is easy to read and understand. Sample 799,219,5.05,8,0.738,0.545
800,The document contains moderately complex vocabulary. Sample 800,87,6.13,6,0.029,2.308
801,The article uses highly technical terminology and advanced concepts. Sample 801,263,5.84,18,0.935,1.388
802,The document contains moderately complex vocabulary. Sample 802,296,4.39,20,0.457,2.991
803,The research manuscript presents sophisticated theoretical arguments. Sample 803,242,6.12,18,0.31,-0.223
804,The research manuscript presents sophisticated theoretical arguments. Sample 804,136,7.52,15,0.308,0.298
805,The document contains moderately complex vocabulary. Sample 805,175,3.55,17,0.815,3.784
806,The article uses highly technical terminology and advanced concepts. Sample 806,166,5.85,1,0.688,0.935
807,The tutorial is beginner friendly and clearly written. Sample 807,173,3.55,14,0.798,1.776
808,This passage is easy to read and understand. Sample 808,300,5.37,14,0.882,0.497
809,The document contains moderately complex vocabulary. Sample 809,103,7.07,13,0.828,-1.235
810,This passage is easy to read and understand. Sample 810,236,6.63,17,0.765,4.28
811,The story is engaging and suitable for young readers. Sample 811,159,4.92,18,0.809,0.303
812,This passage is easy to read and understand. Sample 812,113,4.18,4,0.637,1.942
813,The article uses highly technical terminology and advanced concepts. Sample 813,271,4.44,1,0.152,4.758
814,This passage is easy to read and understand. Sample 814,115,8.36,10,0.269,2.722
815,The story is engaging and suitable for young readers. Sample 815,24,4.66,5,0.015,-1.262
816,The tutorial is beginner friendly and clearly written. Sample 816,179,7.43,16,0.998,0.709
817,This passage is easy to read and understand. Sample 817,189,3.9,5,0.056,3.205
818,This passage is easy to read and understand. Sample 818,298,5.85,7,0.896,-0.999
819,The tutorial is beginner friendly and clearly written. Sample 819,26,4.11,8,0.385,4.8
820,The document contains moderately complex vocabulary. Sample 820,37,4.5,4,0.521,4.857
821,The tutorial is beginner friendly and clearly written. Sample 821,219,6.91,10,0.936,-1.731
822,The story is engaging and suitable for young readers. Sample 822,41,7.22,18,0.521,-0.973
823,The story is engaging and suitable for young readers. Sample 823,172,4.49,2,0.864,-1.258
824,This passage is easy to read and understand. Sample 824,140,6.66,11,0.015,3.355
825,The research manuscript presents sophisticated theoretical arguments. Sample 825,81,5.48,8,0.009,-2.664
826,The story is engaging and suitable for young readers. Sample 826,263,6.94,5,0.371,-2.284
827,The document contains moderately complex vocabulary. Sample 827,275,3.96,20,0.338,4.757
828,The story is engaging and suitable for young readers. Sample 828,50,3.8,5,0.701,3.332
829,The document contains moderately complex vocabulary. Sample 829,269,4.66,18,0.789,3.054
830,The tutorial is beginner friendly and clearly written. Sample 830,118,3.61,13,0.358,-1.922
831,This passage is easy to read and understand. Sample 831,268,7.03,18,0.295,2.576
832,The document contains moderately complex vocabulary. Sample 832,115,6.22,11,0.732,-0.797
833,The research manuscript presents sophisticated theoretical arguments. Sample 833,102,3.84,5,0.449,3.555
834,The research manuscript presents sophisticated theoretical arguments. Sample 834,207,5.77,17,0.379,-1.516
835,This passage is easy to read and understand. Sample 835,206,7.38,8,0.321,-2.493
836,The research manuscript presents sophisticated theoretical arguments. Sample 836,218,4.45,16,0.766,-1.767
837,The article uses highly technical terminology and advanced concepts. Sample 837,185,5.55,11,0.11,1.186
838,This passage is easy to read and understand. Sample 838,42,7.68,5,0.179,-2.75
839,This passage is easy to read and understand. Sample 839,268,4.46,2,0.571,3.69
840,The story is engaging and suitable for young readers. Sample 840,270,6.13,19,0.256,-0.069
841,The research manuscript presents sophisticated theoretical arguments. Sample 841,56,3.57,7,0.656,4.427
842,This passage is easy to read and understand. Sample 842,259,7.51,2,0.361,2.948
843,The tutorial is beginner friendly and clearly written. Sample 843,208,7.47,2,0.824,-0.873
844,This passage is easy to read and understand. Sample 844,56,7.67,3,0.945,4.685
845,This passage is easy to read and understand. Sample 845,71,7.13,18,0.385,-1.455
846,The story is engaging and suitable for young readers. Sample 846,147,6.35,6,0.558,1.465
847,The story is engaging and suitable for young readers. Sample 847,74,7.33,19,0.358,0.67
848,The story is engaging and suitable for young readers. Sample 848,238,7.91,6,0.792,1.4
849,The research manuscript presents sophisticated theoretical arguments. Sample 849,192,6.79,18,0.998,0.544
850,The article uses highly technical terminology and advanced concepts. Sample 850,181,6.25,11,0.845,0.299
851,The story is engaging and suitable for young readers. Sample 851,240,7.63,11,0.608,1.505
852,The document contains moderately complex vocabulary. Sample 852,212,7.33,9,0.36,0.619
853,The tutorial is beginner friendly and clearly written. Sample 853,20,7.13,10,0.596,1.141
854,The article uses highly technical terminology and advanced concepts. Sample 854,23,5.0,8,0.215,-0.481
855,The story is engaging and suitable for young readers. Sample 855,161,8.1,17,0.556,4.407
856,The document contains moderately complex vocabulary. Sample 856,68,3.69,12,0.156,-0.88
857,The research manuscript presents sophisticated theoretical arguments. Sample 857,147,4.66,10,0.092,0.198
858,The document contains moderately complex vocabulary. Sample 858,59,7.12,16,0.173,3.606
859,The story is engaging and suitable for young readers. Sample 859,68,6.48,10,0.037,3.467
860,The tutorial is beginner friendly and clearly written. Sample 860,60,7.4,11,0.348,3.537
861,The tutorial is beginner friendly and clearly written. Sample 861,81,7.85,8,0.748,3.796
862,This passage is easy to read and understand. Sample 862,215,3.77,17,0.041,1.319
863,The document contains moderately complex vocabulary. Sample 863,187,6.01,8,0.153,2.389
864,The tutorial is beginner friendly and clearly written. Sample 864,248,7.26,19,0.505,-1.223
865,The article uses highly technical terminology and advanced concepts. Sample 865,221,4.24,11,0.083,1.572
866,This passage is easy to read and understand. Sample 866,300,5.5,3,0.399,0.476
867,The story is engaging and suitable for young readers. Sample 867,86,7.31,16,0.559,0.903
868,The story is engaging and suitable for young readers. Sample 868,120,6.31,17,0.246,-2.427
869,The tutorial is beginner friendly and clearly written. Sample 869,185,6.92,19,0.09,2.374
870,The tutorial is beginner friendly and clearly written. Sample 870,207,5.24,11,0.345,2.243
871,The article uses highly technical terminology and advanced concepts. Sample 871,106,8.44,20,0.822,3.422
872,The research manuscript presents sophisticated theoretical arguments. Sample 872,94,5.7,8,0.2,-0.009
873,The story is engaging and suitable for young readers. Sample 873,63,4.06,2,0.243,1.968
874,The document contains moderately complex vocabulary. Sample 874,167,3.57,4,0.305,0.77
875,The article uses highly technical terminology and advanced concepts. Sample 875,127,7.2,7,0.204,1.186
876,The article uses highly technical terminology and advanced concepts. Sample 876,300,5.92,5,0.695,2.346
877,The tutorial is beginner friendly and clearly written. Sample 877,289,3.72,6,0.06,-1.394
878,The story is engaging and suitable for young readers. Sample 878,158,3.77,1,0.067,2.283
879,The story is engaging and suitable for young readers. Sample 879,204,7.82,1,0.292,4.067
880,The tutorial is beginner friendly and clearly written. Sample 880,138,8.4,17,0.977,-2.203
881,The article uses highly technical terminology and advanced concepts. Sample 881,268,7.83,18,0.088,-1.409
882,The tutorial is beginner friendly and clearly written. Sample 882,31,3.7,17,0.305,0.919
883,The story is engaging and suitable for young readers. Sample 883,100,3.59,12,0.355,-0.581
884,The research manuscript presents sophisticated theoretical arguments. Sample 884,161,7.56,9,0.879,4.123
885,This passage is easy to read and understand. Sample 885,163,4.63,11,0.897,2.255
886,This passage is easy to read and understand. Sample 886,215,6.1,20,0.873,2.492
887,The tutorial is beginner friendly and clearly written. Sample 887,143,6.36,14,0.971,4.278
888,The article uses highly technical terminology and advanced concepts. Sample 888,249,6.21,7,0.652,1.648
889,The story is engaging and suitable for young readers. Sample 889,123,7.81,10,0.689,4.189
890,The document contains moderately complex vocabulary. Sample 890,240,8.48,5,0.656,1.519
891,The document contains moderately complex vocabulary. Sample 891,182,3.84,18,0.949,-2.053
892,The article uses highly technical terminology and advanced concepts. Sample 892,94,7.14,11,0.88,0.312
893,The tutorial is beginner friendly and clearly written. Sample 893,175,5.72,9,0.152,-1.497
894,The document contains moderately complex vocabulary. Sample 894,114,3.63,20,0.617,1.845
895,The research manuscript presents sophisticated theoretical arguments. Sample 895,138,6.48,8,0.687,-0.126
896,The story is engaging and suitable for young readers. Sample 896,264,4.17,20,0.469,2.197
897,The document contains moderately complex vocabulary. Sample 897,218,5.96,5,0.164,-1.19
898,The tutorial is beginner friendly and clearly written. Sample 898,27,8.13,14,0.223,2.371
899,The document contains moderately complex vocabulary. Sample 899,124,3.83,15,0.867,0.92
900,The article uses highly technical terminology and advanced concepts. Sample 900,254,7.94,14,0.405,-2.665
901,The story is engaging and suitable for young readers. Sample 901,214,7.1,13,0.612,2.94
902,The research manuscript presents sophisticated theoretical arguments. Sample 902,294,6.13,2,0.521,0.613
903,This passage is easy to read and understand. Sample 903,145,6.09,13,0.984,-2.686
904,The tutorial is beginner friendly and clearly written. Sample 904,284,7.33,2,0.19,0.516
905,The article uses highly technical terminology and advanced concepts. Sample 905,166,5.81,14,0.294,4.352
906,The story is engaging and suitable for young readers. Sample 906,284,8.02,15,0.83,0.614
907,The story is engaging and suitable for young readers. Sample 907,276,4.07,19,0.938,2.569
908,The document contains moderately complex vocabulary. Sample 908,221,5.57,15,0.025,0.629
909,The story is engaging and suitable for young readers. Sample 909,123,7.91,3,0.25,2.534
910,The story is engaging and suitable for young readers. Sample 910,103,7.09,4,0.091,2.65
911,The story is engaging and suitable for young readers. Sample 911,205,3.93,13,0.727,4.802
912,The research manuscript presents sophisticated theoretical arguments. Sample 912,101,5.39,13,0.044,-1.633
913,The article uses highly technical terminology and advanced concepts. Sample 913,96,4.31,5,0.179,2.696
914,The tutorial is beginner friendly and clearly written. Sample 914,177,5.05,15,0.289,-1.554
915,The document contains moderately complex vocabulary. Sample 915,123,3.52,9,0.012,0.981
916,The tutorial is beginner friendly and clearly written. Sample 916,298,7.54,20,0.883,-1.097
917,The research manuscript presents sophisticated theoretical arguments. Sample 917,263,5.77,15,0.079,1.801
918,The document contains moderately complex vocabulary. Sample 918,300,4.89,18,0.82,-1.339
919,The document contains moderately complex vocabulary. Sample 919,95,3.78,12,0.037,3.831
920,The story is engaging and suitable for young readers. Sample 920,172,5.16,3,0.049,0.336
921,The document contains moderately complex vocabulary. Sample 921,102,6.86,20,0.661,2.599
922,The research manuscript presents sophisticated theoretical arguments. Sample 922,110,8.33,19,0.36,-2.713
923,The article uses highly technical terminology and advanced concepts. Sample 923,185,5.34,13,0.82,3.068
924,The research manuscript presents sophisticated theoretical arguments. Sample 924,53,4.96,5,0.122,3.875
925,The article uses highly technical terminology and advanced concepts. Sample 925,289,5.57,7,0.696,1.896
926,This passage is easy to read and understand. Sample 926,290,8.44,16,0.724,1.838
927,The story is engaging and suitable for young readers. Sample 927,167,5.64,11,0.26,1.601
928,The research manuscript presents sophisticated theoretical arguments. Sample 928,201,8.14,20,0.563,1.158
929,The story is engaging and suitable for young readers. Sample 929,274,5.96,6,0.884,-1.138
930,The article uses highly technical terminology and advanced concepts. Sample 930,119,3.51,1,0.465,3.374
931,The story is engaging and suitable for young readers. Sample 931,126,7.5,14,0.414,-0.33
932,The research manuscript presents sophisticated theoretical arguments. Sample 932,128,3.56,7,0.69,-0.965
933,This passage is easy to read and understand. Sample 933,177,5.0,18,0.324,-2.951
934,The story is engaging and suitable for young readers. Sample 934,190,5.21,19,0.616,-2.767
935,The document contains moderately complex vocabulary. Sample 935,119,5.15,11,0.922,0.833
936,The tutorial is beginner friendly and clearly written. Sample 936,38,6.73,16,0.155,0.685
937,The research manuscript presents sophisticated theoretical arguments. Sample 937,191,5.81,14,0.928,-2.552
938,The research manuscript presents sophisticated theoretical arguments. Sample 938,173,6.32,11,0.555,-2.85
939,The research manuscript presents sophisticated theoretical arguments. Sample 939,189,7.5,12,0.066,-1.806
940,This passage is easy to read and understand. Sample 940,193,8.42,18,0.842,1.568
941,The tutorial is beginner friendly and clearly written. Sample 941,115,6.48,10,0.705,-0.484
942,This passage is easy to read and understand. Sample 942,159,5.57,16,0.877,-0.027
943,The article uses highly technical terminology and advanced concepts. Sample 943,130,6.13,6,0.112,3.28
944,The document contains moderately complex vocabulary. Sample 944,67,5.72,1,0.799,4.24
945,The document contains moderately complex vocabulary. Sample 945,117,5.2,16,0.732,1.189
946,The article uses highly technical terminology and advanced concepts. Sample 946,93,7.35,4,0.822,4.504
947,The story is engaging and suitable for young readers. Sample 947,87,4.53,2,0.459,2.709
948,The research manuscript presents sophisticated theoretical arguments. Sample 948,79,3.52,2,0.687,1.754
949,This passage is easy to read and understand. Sample 949,190,5.83,2,0.103,3.129
950,The story is engaging and suitable for young readers. Sample 950,179,3.61,10,0.639,-1.321
951,The document contains moderately complex vocabulary. Sample 951,118,4.93,18,0.319,0.529
952,This passage is easy to read and understand. Sample 952,159,4.25,9,0.114,4.666
953,The research manuscript presents sophisticated theoretical arguments. Sample 953,283,4.01,18,0.35,-0.452
954,The document contains moderately complex vocabulary. Sample 954,165,6.37,6,0.071,1.906
955,The article uses highly technical terminology and advanced concepts. Sample 955,296,5.72,5,0.029,4.226
956,This passage is easy to read and understand. Sample 956,74,5.42,3,0.426,-1.568
957,The research manuscript presents sophisticated theoretical arguments. Sample 957,248,6.58,10,0.332,-1.415
958,The story is engaging and suitable for young readers. Sample 958,293,3.89,15,0.568,-2.257
959,The story is engaging and suitable for young readers. Sample 959,259,3.99,10,0.684,2.682
960,The tutorial is beginner friendly and clearly written. Sample 960,260,4.66,8,0.144,4.166
961,The article uses highly technical terminology and advanced concepts. Sample 961,206,5.46,11,0.789,4.059
962,The tutorial is beginner friendly and clearly written. Sample 962,269,3.65,16,0.113,0.829
963,The document contains moderately complex vocabulary. Sample 963,164,7.34,20,0.575,1.064
964,The tutorial is beginner friendly and clearly written. Sample 964,74,5.13,3,0.792,1.262
965,The tutorial is beginner friendly and clearly written. Sample 965,231,4.69,8,0.548,4.791
966,The tutorial is beginner friendly and clearly written. Sample 966,53,5.2,19,0.431,4.842
967,The research manuscript presents sophisticated theoretical arguments. Sample 967,195,6.22,8,0.173,2.357
968,The story is engaging and suitable for young readers. Sample 968,269,4.07,20,0.463,1.441
969,The tutorial is beginner friendly and clearly written. Sample 969,110,5.04,13,0.07,-2.13
970,The research manuscript presents sophisticated theoretical arguments. Sample 970,214,5.14,2,0.091,3.536
971,The research manuscript presents sophisticated theoretical arguments. Sample 971,20,7.29,5,0.453,-0.668
972,The research manuscript presents sophisticated theoretical arguments. Sample 972,248,4.48,11,0.3,3.355
973,The story is engaging and suitable for young readers. Sample 973,175,8.09,14,0.718,4.321
974,This passage is easy to read and understand. Sample 974,24,6.56,17,0.404,-1.98
975,The article uses highly technical terminology and advanced concepts. Sample 975,51,5.35,18,0.968,-2.993
976,The research manuscript presents sophisticated theoretical arguments. Sample 976,203,4.05,10,0.866,-1.118
977,The story is engaging and suitable for young readers. Sample 977,221,6.63,13,0.406,0.482
978,The document contains moderately complex vocabulary. Sample 978,108,5.87,7,0.555,3.747
979,The article uses highly technical terminology and advanced concepts. Sample 979,233,4.27,5,0.134,-2.426
980,This passage is easy to read and understand. Sample 980,93,7.11,16,0.658,4.8
981,The document contains moderately complex vocabulary. Sample 981,63,4.19,14,0.86,4.149
982,The story is engaging and suitable for young readers. Sample 982,237,6.62,15,0.509,1.416
983,The tutorial is beginner friendly and clearly written. Sample 983,216,5.28,6,0.425,-2.941
984,The tutorial is beginner friendly and clearly written. Sample 984,141,7.06,9,0.411,1.369
985,The article uses highly technical terminology and advanced concepts. Sample 985,37,8.39,19,0.483,-0.051
986,The research manuscript presents sophisticated theoretical arguments. Sample 986,266,8.31,3,0.142,2.85
987,The article uses highly technical terminology and advanced concepts. Sample 987,258,6.08,17,0.89,-2.292
988,The tutorial is beginner friendly and clearly written. Sample 988,59,6.92,18,0.798,-0.5
989,This passage is easy to read and understand. Sample 989,195,6.18,1,0.469,1.101
990,The tutorial is beginner friendly and clearly written. Sample 990,189,5.61,10,0.289,-2.717
991,The research manuscript presents sophisticated theoretical arguments. Sample 991,175,7.13,19,0.26,2.034
992,The research manuscript presents sophisticated theoretical arguments. Sample 992,106,6.36,10,0.809,1.995
993,The article uses highly technical terminology and advanced concepts. Sample 993,268,3.91,17,0.077,3.27
994,The article uses highly technical terminology and advanced concepts. Sample 994,87,6.58,9,0.858,-2.886
995,This passage is easy to read and understand. Sample 995,109,8.05,5,0.659,-0.042
996,The document contains moderately complex vocabulary. Sample 996,153,7.41,8,0.485,3.395
997,This passage is easy to read and understand. Sample 997,195,8.42,5,0.596,3.574
998,The tutorial is beginner friendly and clearly written. Sample 998,231,7.35,8,0.661,2.808
999,The document contains moderately complex vocabulary. Sample 999,127,6.39,12,0.054,-0.885
1000,This passage is easy to read and understand. Sample 1000,46,4.34,13,0.476,0.81
